"","gene_id","gene_name","dev_default","rank_default","dev_sex","rank_sex","d_diff","nSD_dev_sex","r_diff","nSD_rank_sex"
"1","ENSG00000131584","ACAP3",16125.3061612922,1262,16118.48126147,1250,0.000423420774667163,-0.26156000572471,-12,-0.308018823733943
"2","ENSG00000175756","AURKAIP1",17344.0871097267,1060,17247.4378208363,1064,0.00560368965491587,-0.101376865045997,4,0.102672941244648
"3","ENSG00000242485","MRPL20",17629.3270212802,1023,17585.7007066361,1013,0.00248078341442274,-0.197942688405986,-10,-0.256682353111619
"4","ENSG00000179403","VWA1",12860.9271586524,1726,12860.9038661959,1709,1.8111057141113e-06,-0.274596927644132,-17,-0.436360000289753
"5","ENSG00000160075","SSU72",16145.1990387705,1255,16141.1192765105,1243,0.000252755846114605,-0.266837269297551,-12,-0.308018823733943
"6","ENSG00000078369","GNB1",22402.8343721444,516,22314.1686888146,509,0.0039735149700759,-0.151784769907503,-7,-0.179677647178133
"7","ENSG00000187730","GABRD",13175.1210290802,1685,13033.1126919056,1690,0.0108959648037739,0.0622697089594994,5,0.12834117655581
"8","ENSG00000067606","PRKCZ",17597.8577093554,1028,17572.6184662625,1014,0.00143628242662969,-0.230240519374689,-14,-0.359355294356267
"9","ENSG00000158109","TPRG1L",16648.2152241825,1174,16505.3001311704,1185,0.00865873942771872,-0.00690928453039679,11,0.282350588422781
"10","ENSG00000069424","KCNAB2",21951.8186329893,564,21854.7371692017,561,0.00444212451680662,-0.137294528052769,-3,-0.0770047059334858
"11","ENSG00000116254","CHD5",14517.8805995604,1517,14413.0108279065,1517,0.00727604890512164,-0.049664538285808,0,0
"12","ENSG00000116251","RPL22",27367.9235339552,283,27366.3453415962,271,5.76690946216384e-05,-0.272869699134948,-12,-0.308018823733943
"13","ENSG00000097021","ACOT7",22341.8768714913,527,22323.8259403397,508,0.000808594870779557,-0.249649736615203,-19,-0.487696470912076
"14","ENSG00000215788","TNFRSF25",8483.2112778822,2066,8483.21120173675,2064,8.97601641722717e-09,-0.274652652704271,-2,-0.0513364706223238
"15","ENSG00000171680","PLEKHG5",9911.10723665234,2010,9898.64027794525,2006,0.00125946173989804,-0.235708129954834,-4,-0.102672941244648
"16","ENSG00000116288","PARK7",22387.26217551,520,22299.6179720444,510,0.00393030067041672,-0.153121033024661,-10,-0.256682353111619
"17","ENSG00000074800","ENO1",24674.0519837562,389,24459.3171890183,391,0.00877926366785032,-0.0031824603522535,2,0.0513364706223238
"18","ENSG00000171603","CLSTN1",27058.290895818,290,26719.9444207133,291,0.0126626938206652,0.116900116993509,1,0.0256682353111619
"19","ENSG00000054523","KIF1B",20112.4752404212,728,20034.8622866345,719,0.00387389504735735,-0.154865195357246,-9,-0.231014117800457
"20","ENSG00000241563","CORT",14934.2757028758,1454,14920.4974038532,1443,0.000923447700817913,-0.246098282538847,-11,-0.282350588422781
"21","ENSG00000116649","SRM",14572.5932335357,1509,14572.3038691169,1488,1.98571496601691e-05,-0.274038911822381,-21,-0.5390329415344
"22","ENSG00000116661","FBXO2",20416.9272061596,693,20413.5299605286,679,0.000166421272442083,-0.269506888091423,-14,-0.359355294356267
"23","ENSG00000132879","FBXO44",16757.0775211951,1164,16726.3289151438,1152,0.00183833560892345,-0.217808318856057,-12,-0.308018823733943
"24","ENSG00000159363","ATP13A2",15239.8862482314,1405,15172.877430508,1397,0.00441635530440746,-0.13809135799931,-8,-0.205345882489295
"25","ENSG00000117115","PADI2",15883.10899001,1299,15882.4597475661,1289,4.08779530505016e-05,-0.273388911140082,-10,-0.256682353111619
"26","ENSG00000117154","IGSF21",12141.0023468579,1821,11917.7816140965,1838,0.0187300573201804,0.304513803359739,17,0.436360000289753
"27","ENSG00000077549","CAPZB",19653.3720139565,780,19607.6893873714,765,0.00232983222462382,-0.202610368063189,-15,-0.385023529667429
"28","ENSG00000173436","MICOS10",21370.7180277003,601,21370.6808490432,592,1.73970391203144e-06,-0.274599135515031,-9,-0.231014117800457
"29","ENSG00000158747","NBL1",19802.5918270672,762,19733.5745088786,754,0.00349745648754957,-0.166505346124803,-8,-0.205345882489295
"30","ENSG00000162545","CAMK2N1",35582.5811355326,114,35541.0271613983,110,0.00116918326377061,-0.238499701237344,-4,-0.102672941244648
"31","ENSG00000158828","PINK1",20078.8156722462,732,19955.8145701815,727,0.00616367232879149,-0.0840612033495419,-5,-0.12834117655581
"32","ENSG00000076864","RAP1GAP",14979.1013741379,1447,14924.2875718632,1442,0.00367279188442027,-0.161083663352702,-5,-0.12834117655581
"33","ENSG00000070831","CDC42",18399.0066142596,916,18308.9860021283,908,0.00491674482250896,-0.122618422824494,-8,-0.205345882489295
"34","ENSG00000117318","ID3",17499.1644668357,1043,16980.9914884902,1108,0.0305148835800709,0.668921622007873,65,1.66843529522552
"35","ENSG00000142676","RPL11",31417.646911428,174,31414.7499017902,166,9.22181346920313e-05,-0.271801381278512,-8,-0.205345882489295
