"","gene_id","gene_name","nSD_bin_dev","dev_outlier","nSD_bin_rank","rank_outlier"
"1","ENSG00000177606","JUN","[0,10)",FALSE,"[5,10)",TRUE
"2","ENSG00000159388","BTG2","[0,10)",FALSE,"[10,15)",TRUE
"3","ENSG00000135625","EGR4","[0,10)",FALSE,"[5,10)",TRUE
"4","ENSG00000120738","EGR1","[0,10)",FALSE,"[5,10)",TRUE
"5","ENSG00000120129","DUSP1","[0,10)",FALSE,"[10,15)",TRUE
"6","ENSG00000204388","HSPA1B","[0,10)",FALSE,"[10,15)",TRUE
"7","ENSG00000130222","GADD45G","[0,10)",FALSE,"[5,10)",TRUE
"8","ENSG00000174576","NPAS4","[0,10)",FALSE,"[5,10)",TRUE
"9","ENSG00000123358","NR4A1","[0,10)",FALSE,"[15,20]",TRUE
"10","ENSG00000170345","FOS","[10,20)",TRUE,"[0,5)",FALSE
"11","ENSG00000256618","MTRNR2L1","[30,40]",TRUE,"[5,10)",TRUE
"12","ENSG00000099860","GADD45B","[0,10)",FALSE,"[5,10)",TRUE
"13","ENSG00000171223","JUNB","[0,10)",FALSE,"[5,10)",TRUE
"14","ENSG00000125740","FOSB","[0,10)",FALSE,"[5,10)",TRUE
"15","ENSG00000229807","XIST","[10,20)",TRUE,"[15,20]",TRUE
