"","gene_id","gene_name","nSD_bin_dev","dev_outlier","nSD_bin_rank","rank_outlier"
"1","ENSG00000159388","BTG2","[0,10)",FALSE,"[12,18)",TRUE
"2","ENSG00000135625","EGR4","[0,10)",FALSE,"[6,12)",TRUE
"3","ENSG00000120738","EGR1","[0,10)",FALSE,"[6,12)",TRUE
"4","ENSG00000120129","DUSP1","[0,10)",FALSE,"[12,18)",TRUE
"5","ENSG00000204388","HSPA1B","[0,10)",FALSE,"[6,12)",TRUE
"6","ENSG00000130222","GADD45G","[0,10)",FALSE,"[6,12)",TRUE
"7","ENSG00000174576","NPAS4","[10,20)",TRUE,"[0,6)",FALSE
"8","ENSG00000123358","NR4A1","[10,20)",TRUE,"[18,24]",TRUE
"9","ENSG00000170345","FOS","[10,20)",TRUE,"[0,6)",FALSE
"10","ENSG00000256618","MTRNR2L1","[10,20)",TRUE,"[0,6)",FALSE
"11","ENSG00000099860","GADD45B","[0,10)",FALSE,"[6,12)",TRUE
"12","ENSG00000171223","JUNB","[0,10)",FALSE,"[6,12)",TRUE
"13","ENSG00000125740","FOSB","[0,10)",FALSE,"[6,12)",TRUE
"14","ENSG00000229807","XIST","[20,30]",TRUE,"[12,18)",TRUE
